system:index,distance_to_landslide_m,exclusion_distance_m,landslide_target,random,sample_type,sampling_seed,.geo,reference_date,record_id,longitude,latitude
2009,17937.75286923133,1000,0,0.0004234378458233,background,2026,"{""type"":""Point"",""coordinates"":[94.81985024377579,28.577311606838983]}",2024-09-30,BG-0001,94.81985024377579,28.577311606838983
774,14170.77734437043,1000,0,0.0005886379839779,background,2026,"{""type"":""Point"",""coordinates"":[94.03005730155449,27.67226094341022]}",2021-09-20,BG-0002,94.03005730155449,27.67226094341022
1022,9348.672302650066,1000,0,0.0011697660211553,background,2026,"{""type"":""Point"",""coordinates"":[94.78903049303591,27.696639698705223]}",2024-06-15,BG-0003,94.78903049303591,27.696639698705223
930,5666.70422839416,1000,0,0.0013645651720813,background,2026,"{""type"":""Point"",""coordinates"":[90.88523542806686,25.186468407827366]}",2024-06-11,BG-0004,90.88523542806686,25.186468407827366
333,4050.182298275368,1000,0,0.0015600594721596,background,2026,"{""type"":""Point"",""coordinates"":[92.77226635288949,23.775721502892026]}",2023-04-03,BG-0005,92.77226635288949,23.775721502892026
2125,24117.29921987793,1000,0,0.0019490989897098,background,2026,"{""type"":""Point"",""coordinates"":[88.17192882841641,27.521687237166745]}",2024-05-28,BG-0006,88.17192882841641,27.521687237166745
2539,24369.067668190222,1000,0,0.0019523338717006,background,2026,"{""type"":""Point"",""coordinates"":[91.56090069900733,22.9516336266088]}",2024-06-15,BG-0007,91.56090069900733,22.9516336266088
172,23357.75304892846,1000,0,0.0024113579252363,background,2026,"{""type"":""Point"",""coordinates"":[92.83183333065165,27.099186020135466]}",2024-05-01,BG-0008,92.83183333065165,27.099186020135466
1520,13711.788644799632,1000,0,0.0025899352265033,background,2026,"{""type"":""Point"",""coordinates"":[93.77448235517792,27.715117151611246]}",2024-06-13,BG-0009,93.77448235517792,27.715117151611246
1931,14825.715694408518,1000,0,0.0028410941969108,background,2026,"{""type"":""Point"",""coordinates"":[91.92981606423115,25.100848804474836]}",2024-07-14,BG-0010,91.92981606423115,25.100848804474836
1999,16004.239396524845,1000,0,0.0029303449645102,background,2026,"{""type"":""Point"",""coordinates"":[95.79477345011298,28.376890747210265]}",2024-06-15,BG-0011,95.79477345011298,28.376890747210265
348,17735.585721031024,1000,0,0.0030757151691677,background,2026,"{""type"":""Point"",""coordinates"":[92.82474505885736,23.89872979175495]}",2024-08-18,BG-0012,92.82474505885736,23.89872979175495
404,18806.212298737883,1000,0,0.004413056929299,background,2026,"{""type"":""Point"",""coordinates"":[94.52253318695234,27.79377468605191]}",2023-06-23,BG-0013,94.52253318695234,27.79377468605191
2921,4535.537375316395,1000,0,0.0052957204361659,background,2026,"{""type"":""Point"",""coordinates"":[94.96077600995712,25.669117857265412]}",2024-06-11,BG-0014,94.96077600995712,25.669117857265412
2591,12708.67626575328,1000,0,0.0054942012510842,background,2026,"{""type"":""Point"",""coordinates"":[94.09999952953291,25.275015292101006]}",2024-06-18,BG-0015,94.09999952953291,25.275015292101006
820,10427.405249780602,1000,0,0.0067712469750444,background,2026,"{""type"":""Point"",""coordinates"":[88.52422398193004,27.730032833865216]}",2021-09-09,BG-0016,88.52422398193004,27.730032833865216
1893,17890.898793751967,1000,0,0.0069315999041553,background,2026,"{""type"":""Point"",""coordinates"":[94.02376624601547,25.475689547669027]}",2024-05-28,BG-0017,94.02376624601547,25.475689547669027
1488,11962.219744479064,1000,0,0.0070299031831383,background,2026,"{""type"":""Point"",""coordinates"":[92.67438905072252,26.93557641526493]}",2024-07-12,BG-0018,92.67438905072252,26.93557641526493
2652,1672.281116885189,1000,0,0.0070649840708738,background,2026,"{""type"":""Point"",""coordinates"":[94.76488246913063,28.81064975105835]}",2024-06-15,BG-0019,94.76488246913063,28.81064975105835
2904,3723.088049865016,1000,0,0.007173333197901,background,2026,"{""type"":""Point"",""coordinates"":[94.8462937880418,28.21881013863682]}",2023-06-23,BG-0020,94.8462937880418,28.21881013863682
270,24506.98252144947,1000,0,0.0073251257961212,background,2026,"{""type"":""Point"",""coordinates"":[91.59277699549804,25.101980453627416]}",2024-07-02,BG-0021,91.59277699549804,25.101980453627416
2020,15637.515262663632,1000,0,0.0079511435420748,background,2026,"{""type"":""Point"",""coordinates"":[94.28209046053857,28.306580825725213]}",2021-06-30,BG-0022,94.28209046053857,28.306580825725213
1560,17389.179721114357,1000,0,0.0083471014275348,background,2026,"{""type"":""Point"",""coordinates"":[94.66064216578148,28.679241729912757]}",2024-06-25,BG-0023,94.66064216578148,28.679241729912757
722,8361.646098431253,1000,0,0.0083576294634273,background,2026,"{""type"":""Point"",""coordinates"":[94.71510790322345,25.92897464522301]}",2021-06-18,BG-0024,94.71510790322345,25.92897464522301
622,17264.01390784552,1000,0,0.0088439276148671,background,2026,"{""type"":""Point"",""coordinates"":[95.63028539268794,28.14821437475521]}",2021-07-31,BG-0025,95.63028539268794,28.14821437475521
1747,2921.568197023323,1000,0,0.0093027454352672,background,2026,"{""type"":""Point"",""coordinates"":[92.98129024174324,25.201651998015265]}",2024-06-11,BG-0026,92.98129024174324,25.201651998015265
2177,18393.242505383176,1000,0,0.0094224875722936,background,2026,"{""type"":""Point"",""coordinates"":[91.63600169604956,25.141113328238976]}",2024-08-12,BG-0027,91.63600169604956,25.141113328238976
1732,15164.19630016112,1000,0,0.0094449338163282,background,2026,"{""type"":""Point"",""coordinates"":[92.6735451165003,24.794176057468608]}",2024-05-30,BG-0028,92.6735451165003,24.794176057468608
2671,21404.01717882386,1000,0,0.0103939952366349,background,2026,"{""type"":""Point"",""coordinates"":[92.92011849429544,27.499840889977897]}",2024-06-15,BG-0029,92.92011849429544,27.499840889977897
